高晓丽,17.2 
吴学红,15.1 
李霞,16.6 
李廷双,16.4 
王立春,13.3 
何继元,17.7 
李林,17.6 
李红梅,10.7 
阳福元,13.1 
彭可欣,17.5 
赵银禄,13.6 
李红,17.6 
吴利君,12.5 
赵彩虹,16.5 
朱卫群,17.7 
姜晓楠,11.7 
李卓宝,16.4 
王春芬,10.0 
王丽辉,14.9 
李冬梅,17.2 
王春梅,1.2 
李桂卓,11.8 
董秀红,12.4 
薛海平,9.7 
史术国,11.9 
齐军,17.5 
刘娜,17.1 
李建国,7.2 
梁妍,4.3 
张鸾,1.8 
王雪莲,1.1 
于洁,17.2 
于丽强,16.7 
郭雪莹,17.6 
齐福成,12.3 
李慧,2.3 
刘宁,1.6 
张倩,13.1 
孙晶睛,14.5 
张铭,1.4 
徐晓雯,2.1 
王琳琳,9.9 
王敬,3.3 
张燕,5.8 
王孝媛,7.0 
骆飞,17.7 
田璐,3.7 
徐大中,1.7 
银峰,17.7 
李苗,13.4 
王楠,14.4 
李艳宏,2.7 
汤萍,2.2 
吴海萍,9.6 
郭春艳,3.0 
刘欢,3.6 
李佳潼,9.6 
吴飞,15.8 
王小艳,4.1 
陈小萌,12.6 
赵涛,15.2 
李漫,4.2 
乔四红,2.6 
孟铮,17.5 
徐嘉,5.5 
刘佳,16.5 
周虹,6.5 
吴江涛,12.4 
武娜,1.5 
李秀玮,4.8 
褚怡,7.4 
曾天,6.4 
张俊峰,12.3 
宋海龙,4.3 
刘智慧,2.6 
杨婷,5.6 
王振,3.8 
韦明夏,1.6 
段亚梦,4.3 
李玉洁,4.6 
王秀云,6.1 
刘梦頔,6.6 
于绍华,13.3 
刘睿琦,4.4 
孙依雪,5.6 
郭爽,3.4 
高喆,15.7 
刘继柱,2.3 
蔺佳,2.1 
邓佳,3.8 
刘媛媛,3.1 
桑倩,8.5 
徐青,4.6 
赵欣爽,6.5 
张斌,14.5 
亢彧,5.5 
马跃,2.5 
王世静,1.5 
宋学林,7.3 
王磊,10.6 
杨文琪,1.7 
崔雅瑄,3.7 
路坦,4.4 
王雪松,14.5 
张燕辉,3.5 
贾梦露,4.7 
孙金丽,3.5 
赵希,10.5 
龙云飞,10.7 
苗振雪,2.6 
王璐,2.1 
韩笑,2.2 
王欧荻,1.7 
魏亚宇,4.5 
唐佳文,3.7 
赵雪,3.5 
蔡铭赫,5.5 
李想,3.1 
吴雨谦,4.3 
于冬冬,4.2 
刘美麒,4.4 
武传华,3.5 
杜宇廷,2.6 
郝宇佳,3.5 
马欣雨,1.7 
孙佳茹,2.0 
何广顺,3.6 
吴长森,1.6 
李旻,3.8 
屈玉顺,1.4 
何建龙,3.0 
李墨馨,2.5 
崔悦,1.5 
冯楚怡,2.2 
罗伊涵,1.9 
李子平,1.2 
杨雨欣,1.4 
王巧琨,1.5 
姚月华,1.5 
肖克,3.5 
张鹏昊,3.8 
刘仲琪,2.3 
孟超,3.8 
朱子希,2.2
张冠华,6.8 
赵杨志,1.6 
王冠,5.3 
王晨,6.2 
李正健,3.8 
刘雪飞,1.2 
韩垠坤,3.6 
庞宇,2.4 
何元华,1.7 
朱传齐,4.6 
江坤,4.2 
张瑞,3.5 
郭治,4.4 
刘树涛,4.3 
何沛龙,3.1 
陆亮,3.2 
邬泽禹,2.1 
张煜,1.5
